working_hours	childrens	subcription	pincode	community	father_name	aadhar	village	salary_type	account_no	city	district	contractor	date_of_birth	pf	lwb	current_work	bank_name	lwb_doj	company	bank_account_name	volunteer	name	work_status	ration_no	house	id_no	education	locality	branch	Address	work_place	esi	ifsc_no	taluk	no_of_children	date_of_joining	post	salary	doorno	experience	payship	_id.$oid
-5	[{'age': '4', 'genger': 'male', 'name': 'gyg`', 'qualification': 'kk'}, {'age': '15', 'genger': 'male', 'name': 'iygig', 'qualification': 'hkgi'}, {'age': '4', 'genger': 'male', 'name': 'gyg`', 'qualification': 'kk'}]	yes		SC				monthly				ddgs		no	yes				null				contract		owned					fb		yes			2						yes	5debe597e276ca98a0bf1ccb
	[{'age': '78', 'genger': 'male', 'name': 'd', 'qualification': 'dw'}, {'age': '78', 'genger': 'male', 'name': 'd', 'qualification': 'dw'}]	yes		SC				yearly				mm		no	no			Not join lwb yet	null				contract	1234567891011	rented					kfv		no			1			556			yes	5decc025fff596be9e0e2e39
	[{'age': '78', 'genger': 'male', 'name': 'd', 'qualification': 'dw'}, {'age': '78', 'genger': 'male', 'name': 'd', 'qualification': 'dw'}]	yes		SC				yearly				mm		no	no			Not join lwb yet	null				contract	1234567891011	rented					kfv		no			1			556			yes	5decc0ec246601e49b3c849d
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decc2fa246601e49b3c849e
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decc7b8246601e49b3c849f
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decc8be246601e49b3c84a0
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decd864246601e49b3c84a1
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decdbb6246601e49b3c84a2
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decdbdd246601e49b3c84a3
180	[{'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}, {'age': '74', 'genger': 'female', 'name': 'amma kari', 'qualification': 'mother'}, {'age': '', 'genger': 'male', 'name': '', 'qualification': ''}, {'age': '78', 'genger': 'male', 'name': 'appan karan', 'qualification': 'Not attended'}]	yes	696969	SC	mark's appan da	123456891011	East coast road	yearly	1548855117546545	chennai	chengalpatu	mr google	1999-01-07	no	no	Street Vendor	bank of children	Not join lwb yet	null	mark zugerburg	zugerburg	Mark	contract	1234567891011	owned	420.69	Primary School	east nest	paradise beach	1 Mountain View, Sanfransico	east los santos	no	1461666w8486	los santos	3	2019-12-22	perl post	800000	13	24	yes	5decdc27246601e49b3c84a4
